Coder's initials,Enter the name of the journal:,Does the journal offer any type of PPPR?,A. Enter the name of the PPPR type offered by the journal:,A. Enter the verbatim description of this type of PPPR provided by the journal,A. Are there any word/comment limits for this type of PPPR?,A. Are there any time limits for submission of this type of PPPR?,A. Are there any reference limits for this type of PPPR?,A. Is this type of PPPR peer reviewed?,A. Are there any other types of PPPR in this journal?,B. Enter the name of the PPPR type offered by the journal:,B. Enter the verbatim description of this type of PPPR provided by the journal,B. Are there any word/comment limits for this type of PPPR?,B. Are there any time limits for submission of this type of PPPR?,B. Are there any reference limits for this type of PPPR?,B. Is this type of PPPR peer reviewed?,B. Are there any other types of PPPR in this journal?,C. Enter the name of the PPPR type offered by the journal:,C. Enter the verbatim description of this type of PPPR provided by the journal,C. Are there any word/comment limits for this type of PPPR?,C. Are there any time limits for submission of this type of PPPR?,C. Are there any reference limits for this type of PPPR?,C. Is this type of PPPR peer reviewed?,C. Are there any other types of PPPR in this journal?,D. Enter the name of the PPPR type offered by the journal:,D. Enter the verbatim description of this type of PPPR provided by the journal,D. Are there any word/comment limits for this type of PPPR?,D. Are there any time limits for submission of this type of PPPR?,D. Are there any reference limits for this type of PPPR?,D. Is this type of PPPR peer reviewed?,D. Are there any other types of PPPR in this journal?,E. Enter the name of the PPPR type offered by the journal:,E. Enter the verbatim description of this type of PPPR provided by the journal,E. Are there any word/comment limits for this type of PPPR?,E. Are there any time limits for submission of this type of PPPR?,E. Are there any reference limits for this type of PPPR?,E. Is this type of PPPR peer reviewed?
TEH,Nano Research,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/TEH,Nano Research,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,Nanophotonics,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,Nanophotonics,YES,Letters,"Letters should not exceed 3 printed pages. Each full
page of printed text corresponds to approximately 800
words. The Abstract should not exceed 150 words.","YES (provide number of words/comments below), Approximately 800 words per page x  3 pages = 2400 words",NOT STATED,NOT STATED,NOT STATED,YES (opens another page),Opinionated Articles,"Opinionated Articles are to summarize a research
finding in Nanophotonics and places in a broader context.
These can include perspectives on a certain
development in the field, the evolution and approaches to
unanswered question or cross-field border developments
in general. The size is between 2 to 5 printed pages (one
printed page holds approx. 800 words or 4000 characters
excluding paragraphing, spacing and figures).","YES (provide number of words/comments below), 2-5 printed pages x 800 words per page = 1600 to 4000 words",NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/JEK,Nanophotonics,YES,Opinionated Articles,"Opinionated Articles are to summarize a research
finding in Nanophotonics and places in a broader context.
These can include perspectives on a certain
development in the field, the evolution and approaches to
unanswered question or cross-field border developments
in general. The size is between 2 to 5 printed pages (one
printed page holds approx. 800 words or 4000 characters
excluding paragraphing, spacing and figures).","YES (provide number of words/comments below), 2-5 printed pages x 800 words per page = 1600 to 4000 words",NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,Nanoscale,YES,"Commentary (""Comments"")","""Comments and Replies are a medium for the discussion and exchange of scientific opinions between authors and readers concerning material published in Nanoscale. For publication, a Comment should present an alternative analysis of and/or new insight into the previously published material.""",NOT STATED,NOT STATED,NOT STATED,"YES, ""The Comment and Reply will both be subject to rigorous peer review in consultation with the journal’s Editorial Board where appropriate.""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,Nanoscale,YES,Comments/Replies,"Comments/Replies

Comments and Replies are a medium for the discussion and exchange of scientific opinions between authors and readers concerning material published in Nanoscale.

For publication, a Comment should present an alternative analysis of and/or new insight into the previously published material. Any Reply should further the discussion presented in the original article and the Comment. Comments and Replies that contain any form of personal attack are not suitable for publication. 

Comments that are acceptable for publication will be forwarded to the authors of the work being discussed, and these authors will be given the opportunity to submit a Reply. The Comment and Reply will both be subject to rigorous peer review in consultation with the journal’s Editorial Board where appropriate. The Comment and Reply will be published together.",NOT STATED,NOT STATED,NOT STATED,YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/JEK,Nanoscale,YES,Comments/Replies,"Comments/Replies

Comments and Replies are a medium for the discussion and exchange of scientific opinions between authors and readers concerning material published in Nanoscale.

For publication, a Comment should present an alternative analysis of and/or new insight into the previously published material. Any Reply should further the discussion presented in the original article and the Comment. Comments and Replies that contain any form of personal attack are not suitable for publication. 

Comments that are acceptable for publication will be forwarded to the authors of the work being discussed, and these authors will be given the opportunity to submit a Reply. The Comment and Reply will both be subject to rigorous peer review in consultation with the journal’s Editorial Board where appropriate. The Comment and Reply will be published together.",NOT STATED,NOT STATED,NOT STATED,YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,Nanoscale Horizons,YES,Comments,"Comments and Replies are a medium for the discussion and exchange of scientific opinions between authors and readers concerning material published in Nanoscale Horizons.

For publication, a Comment should present an alternative analysis of and/or new insight into the previously published material. Any Reply should further the discussion presented in the original article and the Comment. Comments and Replies that contain any form of personal attack are not suitable for publication. 

Comments that are acceptable for publication will be forwarded to the authors of the work being discussed, and these authors will be given the opportunity to submit a Reply. The Comment and Reply will both be subject to rigorous peer review in consultation with the journal’s Editorial Board where appropriate. The Comment and Reply will be published together.",NOT STATED,NOT STATED,NOT STATED,YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,Nanoscale Horizons,YES,Comments,"Comments
Comments and Replies are a medium for the discussion and exchange of scientific opinions between authors and readers concerning material published in Nanoscale Horizons.

For publication, a Comment should present an alternative analysis of and/or new insight into the previously published material. Any Reply should further the discussion presented in the original article and the Comment. Comments and Replies that contain any form of personal attack are not suitable for publication. 

Comments that are acceptable for publication will be forwarded to the authors of the work being discussed, and these authors will be given the opportunity to submit a Reply. The Comment and Reply will both be subject to rigorous peer review in consultation with the journal’s Editorial Board where appropriate. The Comment and Reply will be published together.",NOT STATED,NOT STATED,NOT STATED,YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/JEK,Nanoscale Horizons,YES,Comments,"Comments
Comments and Replies are a medium for the discussion and exchange of scientific opinions between authors and readers concerning material published in Nanoscale Horizons.

For publication, a Comment should present an alternative analysis of and/or new insight into the previously published material. Any Reply should further the discussion presented in the original article and the Comment. Comments and Replies that contain any form of personal attack are not suitable for publication. 

Comments that are acceptable for publication will be forwarded to the authors of the work being discussed, and these authors will be given the opportunity to submit a Reply. The Comment and Reply will both be subject to rigorous peer review in consultation with the journal’s Editorial Board where appropriate. The Comment and Reply will be published together.",NOT STATED,NOT STATED,NOT STATED,YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,Nanotoxicology,YES,letters to the editor,"NA",NOT STATED,NOT STATED,NOT STATED,NOT STATED,YES (opens another page),Commentaries,"NA",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,Nanotoxicology,YES,letters to the edito,no description provided,NOT STATED,NOT STATED,NOT STATED,NOT STATED,YES (opens another page),commentaries,"no description provided. Thus, it is unclear whether this is a form of PPPR. Given that the journal also include Letters to the Editor as an article type, I'd assume this is NOT a form of PPPR.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/RTT,Nanotoxicology,YES,letters to the editor,CHECKED EXAMPLE,NOT STATED,NOT STATED,NOT STATED,NOT STATED,YES (opens another page),commentaries,NO DESCRIPTION AND NO EXAMPLES,NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,National Science Review,YES,Letters & Commentaries,Letters & Commentaries . The main text should not exceed 300 words.,"YES (provide number of words/comments below), 300",NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,National Science Review,YES,Letters & Commentaries,None provided,"YES (provide number of words/comments below), 300 words",NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/TEH,National Science Review,YES,Letters & Commentaries,NO DESCRIPTION AND NO EXAMPLES,"YES (provide number of words/comments below), 300 words",NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,"NATURE",YES,Matters Arising,Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in Nature.,"YES (provide number of words/comments below), 1200 words","UNCLEAR (provide detail below), The editors will decide how to proceed on the basis of the potential interest to readers, importance and timeliness of the contribution.","YES (provide number of references below), 15",YES,YES (opens another page),Comment,N/A,NOT STATED,NO,NOT STATED,NO,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,"NATURE",YES,Correspondence,"These items are 'letters to the Editor': short comments on topical issues of public and political interest, anecdotal material, or readers' reactions to informal material published in Nature (for example, Editorials, News, News Features, Books & Arts reviews and Comment pieces).Note that Correspondence pieces are not technical comments on peer-reviewed research papers. Please submit these instead to Matters Arising.

Correspondence submissions are not usually peer-reviewed and so should not contain primary research data.","YES (provide number of words/comments below), 300",NOT STATED,"YES (provide number of references below), 3",NOT STATED,YES (opens another page),Matters Arising,"General information
Nature Research journals recognize the importance of post-publication commentary on published research as necessary to advancing scientific discourse. Formal post-publication commentary on published papers can involve either challenges or clarifications of the published work and may, after peer review, be published online as Matters Arising, usually alongside a Reply from the original Nature authors. Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in Nature. These comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.

If the submission serves only to identify an important error or mistake in the published paper, it will usually lead to the publication of a clarification statement (correction or retraction, for example). Please contact nature@nature.com for these cases. Comments can also be posted at the journal's website, under the full-text online version of the paper. Online posted comments can make reference to citable materials such as a preprint if necessary.

In all cases, Nature strongly encourages correspondents to first contact the authors of the paper directly, as this can often resolve matters if they arise from a simple misunderstanding.

Matters Arising are published online but not in print. Matters Arising and Replies are bi-directionally linked with the original published paper.

Nature does not consider Matters Arising on papers published in other journals.

Contributions that do not comply with our submission criteria (see sections below) will not be considered.","YES (provide number of words/comments below), 1200",NOT STATED,"YES (provide number of references below), 15",YES,YES (opens another page),Comments (below the lines),By submitting a comment you agree to abide by our Terms and Community Guidelines. If you find something abusive or that does not comply with our terms or guidelines please flag it as inappropriate.,"NO, I entered over 4,000 characters in the box and it didn't stop me","UNCLEAR (provide detail below), It appears there's no time limit, but I can't be sure.",NO,NO,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/RTT,"NATURE",YES,Matters Arising,"General information
Nature Research journals recognize the importance of post-publication commentary on published research as necessary to advancing scientific discourse. Formal post-publication commentary on published papers can involve either challenges or clarifications of the published work and may, after peer review, be published online as Matters Arising, usually alongside a Reply from the original Nature authors. Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in Nature. These comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.

If the submission serves only to identify an important error or mistake in the published paper, it will usually lead to the publication of a clarification statement (correction or retraction, for example). Please contact nature@nature.com for these cases. Comments can also be posted at the journal's website, under the full-text online version of the paper. Online posted comments can make reference to citable materials such as a preprint if necessary.

In all cases, Nature strongly encourages correspondents to first contact the authors of the paper directly, as this can often resolve matters if they arise from a simple misunderstanding.

Matters Arising are published online but not in print. Matters Arising and Replies are bi-directionally linked with the original published paper.

Nature does not consider Matters Arising on papers published in other journals.

Contributions that do not comply with our submission criteria (see sections below) will not be considered.","YES (provide number of words/comments below), 1200","UNCLEAR (provide detail below), The editors will decide how to proceed on the basis of the potential interest to readers, importance and timeliness of the contribution.","YES (provide number of references below), 15",YES,YES (opens another page),Comments (below the lines),By submitting a comment you agree to abide by our Terms and Community Guidelines. If you find something abusive or that does not comply with our terms or guidelines please flag it as inappropriate.,NOT STATED,NOT STATED,NO,NO,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,"NATURE BIOTECHNOLOGY",YES,Matters Arising,Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in Nature Biotechnology.,"YES (provide number of words/comments below), 1200 words","UNCLEAR (provide detail below), The editors will decide how to proceed on the basis of the potential interest to readers, importance and timeliness of the contribution.","YES (provide number of references below), 15",YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,"NATURE BIOTECHNOLOGY",YES,Analysis,"An Analysis is a new analysis of existing data (typically large genomic, transcriptomic or proteomic data sets from arrays or
other high-throughput platforms) or describe new data obtained in a comparative analysis of technologies that lead to novel
and arresting conclusions of importance to a broad audience. The main text (excluding abstract, online Methods, references
and figure legends) is approximately 3,000. The abstract is typically 100-150 words, unreferenced. Analyses have no more
than 6 display items (figures and/or tables). An introduction (without heading) is followed by sections headed Results,
Discussion and online Methods. The Results and online Methods should be divided by topical subheadings; the Discussion
does not contain subheadings. As a guideline, Analyses allow up to 50 references.
Analyses include received/accepted dates. They may be accompanied by supplementary information. Resources are peer
reviewed.
","YES (provide number of words/comments below), 3000",NOT STATED,"YES (provide number of references below), 50",YES,YES (opens another page),Correspondence,"The Correspondence section provides a forum for comment on papers or discussion of issues relevant to the journal’s
community. A Correspondence should not exceed more than one printed page and is typically 250–500 words; it is limited to
one display item and, as guideline, Correspondence allows up to 10 references. Article titles are omitted from the reference
list. Titles for Correspondences are supplied by the editors. Correspondence may be peer-reviewed at the editors’ discretion.
Note that Correspondence pieces are not technical comments on peer-reviewed research papers which would be considered
Matters Arising.
","YES (provide number of words/comments below), 500",NOT STATED,"YES (provide number of references below), 10","OTHER (provide detail), "". Correspondence may be peer-reviewed at the editors’ discretion.""",YES (opens another page),Matters Arising,"Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers
published in Nature Biotechnology. These comments should ideally be based on knowledge contemporaneous with the
original paper, rather than subsequent scientific developments.
For detailed information on how to submit a Matters Arising, please follow instructions here.
","YES (provide number of words/comments below), 1200",NOT STATED,"YES (provide number of references below), 15",YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/RTT,"NATURE BIOTECHNOLOGY",YES,Matters Arising,Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in Nature Biotechnology.,"YES (provide number of words/comments below), 1200 words","UNCLEAR (provide detail below), The editors will decide how to proceed on the basis of the potential interest to readers, importance and timeliness of the contribution.","YES (provide number of references below), 15",YES,YES (opens another page),Correspondence,"The Correspondence section provides a forum for comment on papers or discussion of issues relevant to the journal’s
community. A Correspondence should not exceed more than one printed page and is typically 250–500 words; it is limited to
one display item and, as guideline, Correspondence allows up to 10 references. Article titles are omitted from the reference
list. Titles for Correspondences are supplied by the editors. Correspondence may be peer-reviewed at the editors’ discretion.
Note that Correspondence pieces are not technical comments on peer-reviewed research papers which would be considered
Matters Arising.
","YES (provide number of words/comments below), 500",NOT STATED,"YES (provide number of references below), 10","OTHER (provide detail), "". Correspondence may be peer-reviewed at the editors’ discretion.""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,"NATURE CELL BIOLOGY",YES,Matters Arising,Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in Nature Cell Biology.,"YES (provide number of words/comments below), 1200 words","UNCLEAR (provide detail below), The editors will decide how to proceed on the basis of the potential interest to readers, importance and timeliness of the contribution.","YES (provide number of references below), 15",YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,"NATURE CELL BIOLOGY",YES,Matters Arising,"Nature Research journals recognize the importance of post-publication commentary on published research as necessary to advancing scientific discourse. Formal post-publication commentary on published papers can involve either challenges or clarifications of the published work and may, after peer review, be published online as Matters Arising, usually alongside a Reply from the original Nature Cell Biology authors. Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in Nature Cell Biology. These comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.","YES (provide number of words/comments below), 1200",NOT STATED,"YES (provide number of references below), 15",YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/TEH,"NATURE CELL BIOLOGY",YES,Matters Arising,Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in Nature Cell Biology.,"YES (provide number of words/comments below), 1200","OTHER (provide detail), states that timeliness is a factor: ""The editors will decide how to proceed on the basis of the potential interest to readers, importance and timeliness of the contribution.""","YES (provide number of references below), 15",YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,Nature Chemical Biology,YES,Correspondence,"The Correspondence section provides a forum for comment on papers or discussion of issues relevant to the journal’s community. A Correspondence should not exceed more than one printed page and is typically 250–500 words; it is limited to one display item and, as guideline, Correspondence allows up to 10 references. Article titles are omitted from the reference list. Titles for Correspondences are supplied by the editors. Correspondence may be peer-reviewed at the editors’ discretion. Note that Correspondence pieces are not technical comments on peer-reviewed research papers which would be considered Matters Arising.","YES (provide number of words/comments below), 500",NOT STATED,"YES (provide number of references below), 10","OTHER (provide detail), Correspondence may be peer-reviewed at the editors’ discretion.",YES (opens another page),Matters Arising,"General information
Nature Research journals recognize the importance of post-publication commentary on published research as necessary to advancing scientific discourse. Formal post-publication commentary on published papers can involve either challenges or clarifications of the published work and may, after peer review, be published online as Matters Arising, usually alongside a Reply from the original Nature Chemical Biology authors. Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in Nature Chemical Biology. These comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.

If the submission serves only to identify an important error or mistake in the published paper, it will usually lead to the publication of a clarification statement (correction or retraction, for example). Please contact chembio@us.nature.com for these cases.

In all cases, Nature Chemical Biology strongly encourages correspondents to first contact the authors of the paper directly, as this can often resolve matters if they arise from a simple misunderstanding.

Matters Arising and Replies are bi-directionally linked with the original published paper.

Nature Chemical Biology does not consider Matters Arising on papers published in other journals.

Contributions that do not comply with our submission criteria (see sections below) will not be considered.

Manuscript preparation and formatting
Manuscripts (both Matters Arising and Replies) should be formatted according to these instructions.

The main text should be as concise as possible, and ideally not exceed 1,200 words. Any extended Methods may be reported as Supplementary Information.
Contributions should start with a brief paragraph that summarizes the message of the article without specialized terminology, for a non-specialist readership. This paragraph should be used as the abstract for submission purposes.
Contributions should have a simple message that ideally requires only one or two small figures or tables. Complex figures or tables may be presented as Extended Data items (ideally no more than three such items).
At submission, figures should be of sufficient quality to be assessed by referees, ideally as JPEGs.
As a guideline, contributions may have up to 15 references; reference style is as for Articles.
Supplementary Information is permitted at the editor's discretion.
A competing interests statement is required.
An author contributions statement is required.
Before peer review, authors of life sciences contributions that include new data must provide details about elements of experimental and analytical design and must provide a completed reporting summary that will be made available to editors and reviewers during manuscript assessment. The reporting summary will be published with all accepted contributions.
Before peer review, the corresponding author must complete an editorial policy checklist to ensure compliance with Nature Research editorial policies. Please note: because of the advanced features used in these forms, you must use Adobe Reader to open the documents and fill them out. Guidance and resources related to the use and reporting of statistics are available here.
Submissions
Contributions should be submitted using the online submission service.

Before submitting, all contributors must agree to all of Nature's publication policies.

In addition:

All contributions should be measured in tone, and should not contain inflammatory or otherwise intemperate language.
Comments should ideally have been sent to the authors of the paper under discussion before submission to Nature Chemical Biology, so that disputes can be resolved directly whenever possible and points on which both parties agree removed from the submitted contribution. If an attempt to contact the original authors has been unsuccessful (for example, no response received after two weeks), this should be indicated at submission.
Any correspondence should accompany the submission as an attachment clearly labelled as ‘Correspondence with the Nature Chemical Biology authors'.
Editorial Process
The editors will decide how to proceed on the basis of the potential interest to readers, importance and timeliness of the contribution.

Matters Arising submissions that meet Nature Chemical Biology's initial selection criteria are sent to the authors of the original paper for a formal response. The comments and formal response may then be sent to independent referees.

A Reply is published only when it adds to the debate, and not when it reiterates points already published. It should be confined to replying to the specific issue raised about the published paper.

Authors of the original Nature Chemical Biology publication must keep the information provided in Matters Arising confidential and must not use it for their own research or for any other purpose apart from replying to the comment, nor can they distribute it without first obtaining Nature Chemical Biology's permission.

We will not consider appeals against decisions not to publish Matters Arising unless the grounds for appeal consist of a previously overlooked and important scientific point and are clearly explained in these terms. Authors who have had a submission declined are encouraged to post it as an online comment to the paper concerned at the journal's website and/or on an appropriate preprint server.","YES (provide number of words/comments below), 1200",NOT STATED,"YES (provide number of references below), 15",YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,Nature Chemical Biology,YES,Correspondence,"The Correspondence section provides a forum for comment on papers or discussion of issues relevant to the journal’s community. A Correspondence should not exceed more than one printed page and is typically 250–500 words; it is limited to one display item and, as guideline, Correspondence allows up to 10 references. Article titles are omitted from the reference list. Titles for Correspondences are supplied by the editors. Correspondence may be peer-reviewed at the editors’ discretion. Note that Correspondence pieces are not technical comments on peer-reviewed research papers which would be considered Matters Arising.","YES (provide number of words/comments below), 250-500 words",NOT STATED,"YES (provide number of references below), up to 10","OTHER (provide detail), may be peer reviewed",YES (opens another page),Matters Arising,"Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in Nature Chemical Biology. These comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.","YES (provide number of words/comments below), 1200",NOT STATED,"YES (provide number of references below), up to 15",YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/JEK,Nature Chemical Biology,YES,Correspondence,"The Correspondence section provides a forum for comment on papers or discussion of issues relevant to the journal‚Äôs community. A Correspondence should not exceed more than one printed page and is typically 250‚Äì500 words; it is limited to one display item and, as guideline, Correspondence allows up to 10 references. Article titles are omitted from the reference list. Titles for Correspondences are supplied by the editors. Correspondence may be peer-reviewed at the editors‚Äô discretion. Note that Correspondence pieces are not technical comments on peer-reviewed research papers which would be considered Matters Arising.","YES (provide number of words/comments below), 250-500 words",NOT STATED,"YES (provide number of references below), up to 10","OTHER (provide detail), may be peer reviewed",YES (opens another page),Matters Arising,"Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in Nature Chemical Biology. These comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.","YES (provide number of words/comments below), 1200",NOT STATED,"YES (provide number of references below), up to 15",YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,Nature Chemistry,YES,"Commentary (""Correspondence"")","""The Correspondence section provides a forum for comment on papers or discussion of issues relevant to the journal’s community... Note that Correspondence pieces are not technical comments on peer-reviewed research papers which would be considered Matters Arising.""","YES (provide number of words/comments below), ""A Correspondence should not exceed more than one printed page and is typically 250–500 words.""",NOT STATED,"YES (provide number of references below), ""…as guideline, Correspondence allows up to 10 references. Article titles are omitted from the reference list.""","YES, ""Correspondence may be peer-reviewed at the editors’ discretion.""",YES (opens another page),"Commentary (""Matters Arising"")","""Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in Nature Chemistry. These comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.""","YES (provide number of words/comments below), ""The main text should be as concise as possible, and ideally not exceed 1,200 words. Any extended Methods may be reported as Supplementary Information.""",NOT STATED,"YES (provide number of references below), ""As a guideline, contributions may have up to 15 references""","YES, ""The editors will decide how to proceed on the basis of the potential interest to readers, importance and timeliness of the contribution.  Matters Arising submissions that meet Nature Chemistry's initial selection criteria are sent to the authors of the original paper for a formal response. The comments and formal response may then be sent to independent referees.""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,Nature Chemistry,YES,Matters Arising,"Nature Research journals recognize the importance of post-publication commentary on published research as necessary to advancing scientific discourse. Formal post-publication commentary on published papers can involve either challenges or clarifications of the published work and may, after peer review, be published online as Matters Arising, usually alongside a Reply from the original Nature Chemistry authors. Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in Nature Chemistry. These comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.","YES (provide number of words/comments below), 1200",NOT STATED,"YES (provide number of references below), 15",YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/TEH,Nature Chemistry,YES,Correspondence,"""The Correspondence section provides a forum for comment on papers or discussion of issues relevant to the journal’s community... Note that Correspondence pieces are not technical comments on peer-reviewed research papers which would be considered Matters Arising.""","YES (provide number of words/comments below), 500",NOT STATED,"YES (provide number of references below), 10","OTHER (provide detail), ""Correspondence may be peer-reviewed at the editors’ discretion.""",YES (opens another page),Matters Arising,"""Matters Arising are exceptionally interesting and timely scientific comments and clarifications on original research papers published in Nature Chemistry. These comments should ideally be based on knowledge contemporaneous with the original paper, rather than subsequent scientific developments.""","YES (provide number of words/comments below), 1200",NOT STATED,"YES (provide number of references below), 15",YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
